,headlines,categories
33,ن لیگ کا منی بجٹ اور ہائیرایجوکیشن آرڈیننس عدالت میں چیلنج کرنے کا اعلان,"['مسلم لیگ (ن)', 'عدالت', 'پارلیمنٹ', 'یوسف رضا گیلانی', 'جماعت اسلامی', 'براڈ شیٹ', 'پاکستان', 'احسن اقبال', 'ڈالر', 'بجٹ', 'اے این پی', 'حملہ', 'پیپلز پارٹی', 'پنجاب']"
34,پیپلز پارٹی نے سیاسی پختگی کا مظاہرہ کیا ہے، شہزاد اکبرکی تعریف ,"['مسلم لیگ (ن)', 'پیپلز پارٹی', 'سوشل میڈیا']"
35,دادو،کتے کے کاٹنے سے 3 سال کا بچہ انتقال کرگیا،پولیس,"['زخمی', 'علاج', 'ڈاکٹر', 'پولیس', 'حملہ']"
36,اسلام آباد ،ایک ہی دن میں ایک سال سے 10 سال کے بچوں میں کورونا کے مثبت کیس 49 سے بڑھ کر 92 ہو گئے,['کرونا وائرس']
37,نیب کی نواز شریف کی ضبط جائیداد سے مریم نواز کا حصہ الگ کرنے کی مخالفت,"['مسلم لیگ (ن)', 'عدالت', 'مریم نواز شریف', 'میاں نواز شریف', 'ریکارڈ', 'پاکستان', 'لاہور', 'گاڑیاں', 'کلثوم نواز شریف', 'مری', 'وزیراعظم']"
38,بہاولپور ،بچی سے زیادتی کے بعد قتل کرنے والے مجرم کو دو بار سزائے موت سنادی گئی ,"['عدالت', 'قتل', 'تھانہ', 'جرمانہ', 'لاہور']"
39,ماسک نہ پہننے والوں کیخلاف مقدمات درج کروانے کا فیصلہ ,"['کرونا وائرس', 'درآمد', 'شادی', 'لاہور', 'پولیس', 'ریاض']"
40,کوہاٹ میں چار سالہ ننھی حریم فاطمہ کے قتل کے خلاف احتجاجی مظاہرہ,"['قتل', 'احتجاج', 'پشاور', 'ڈاکٹر']"
41,نیشنل ایجوکیشن کونسل نے تعلیمی اداروں کی بندش کو مسترد کردیا,"['کرونا وائرس', 'کرایہ', 'اسمبلی', 'نقصان', 'جرمانہ', 'پاکستان', 'صوبائی اسمبلی', 'پشاور', 'تعلیم']"
42,پولیس ورثاء کا دھرنا 52ویں روز بھی جا ری رہا ,"['عدالت', 'وزیر اعلیٰ', 'مولانا فضل الرحمن', 'دھرنا', 'سپریم کورٹ', 'پولیس', 'چیف جسٹس', 'احتجاج', 'پشاور']"
43,پشاور یونیورسٹی کا موسم بہار کی تعطیلات میں توسیع کا اعلان ,"['موسم', 'پشاور', 'چھٹیاں', 'تعلیم']"
44,کورونا کے تیسرے لہر،ہفتہ کے روز شہر بھرمیں زیادہ تر کاروباری مراکز بند رہے,"['کرونا وائرس', 'پشاور', 'کاروبار', 'ٹریفک']"
45,حیات آباد کے رہائشیوںپینے کے صاف پانی سے محروم,"['احتجاج', 'پشاور', 'پانی']"
46,پشاور نوتھیہ اور سیول کوارٹرز علاقوں میں بجلی لوڈشیڈنگ نے عوام کا جینا حرام کر دیا ,"['موسم', 'بجلی', 'لوڈشیڈنگ', 'احتجاج', 'پشاور', 'تعلیم']"
47,تاجر برادری کی جانب ضلعی انتظامیہ کے نئے اعلامیہ کا خیر مقدم ,"['کرونا وائرس', 'مذاکرات', 'کاروبار']"
48,حکومت پسماندہ علاقوں کو ترقیافتہ علاقوں کے برابر لانے کیلئے ٹھوس اقدامات اٹھا رہی ہے، ریاض خان ,"['پاکستان تحریک انصاف', 'وزیر اعلیٰ', 'بجلی', 'پاکستان', 'خیبرپختونخوا', 'غریب', 'پانی', 'ریاض', 'تعلیم']"
49,وزارت خزانہ نے مہنگائی کی شرح ساڑھے 9 فیصد تک بڑھنے کا خدشہ ظاہرکردیا,"['مہنگائی', 'نقصان']"
50,سندھ میں سورج نے آنکھیں دکھانا شروع کردیں۔ درجہ حرارت 41 سینٹی گریڈ تک جا پہنچا,"['بجلی', 'گرمی', 'سندھ']"
51,ضلع ٹنڈوالہیار کے ایک لاکھ 68ہزار بچوں کو پولیو مہم کے دوران قطرے پلائیے جائیں گے,"['پاکستان', 'قطر', 'پولیو', 'آصف علی زرداری']"
52,پاکستان تحریک انصاف کا اولین مقصد آئینی اداروں کی خود مختاری یقینی بنانا ہے ، سنیٹرسیف اللہ ابڑو,"['پاکستان تحریک انصاف', 'چور', 'کرپشن', 'سندھ', 'پاکستان', 'میرا', 'پی ٹی ایم', 'سونامی', 'نیا پاکستان', 'وزیراعظم']"
53,شب برآت کی آمد ، شہر کے قبرستانوں میں صفائی کی ابتر صورتحال ،شہری حلقوں میں تشویش کی لہر,[]
54,جے یوآئی کے رہنمامولانامحمدصالح انڈھڑ کی وفد کے ہمراہ قتل ہونے والے صحافی اجے لعلوانی کے گھرآمد، تعزیت کی,"['قتل', 'احتجاج', 'جمعیت']"
55,شہید سورھیہ بادشاہ نے وطن کی آزادی کے لیے نہ صرف خود بلکہ لاکھوں حروں نے ان کی قیادت میںاپنی جانیں قربان کیں،مفتی عنایت اللہ سکندری و دیگرکا خطاب ,"['پاکستان', 'شہید', 'فوج']"
56,سکھر پولیس کی نااہلی،نامعلوم موٹر سائیکل چور وبال جان بن گئے ،شہری موٹر سائیکل سے محروم,"['پولیس', 'تھانہ', 'چور']"
57,عدالت کا سگ گزیدگی کے واقعات پر کنٹرول کرنے کا حکم ، عدالتی احکامات پر سرکاری ادارے متحرک ہوگئے، اتوارکو بھی دفاترکھلے رہیں گے,"['عدالت', 'اسمبلی', 'سندھ']"
